KD1,KD2,KD3,KD4,KD5,KC1,KC2,KC3,KC4,KC5,LC1,LC2,LC3,LC4,LC5,LM1,LM2,LM3,LM4,LM5,LM6,LM7,PI1,PI2,PI3,PI4,PI5,PI6,FI1,FI2,FI3,FI4,FI5,MI1,MI2,MI3,MI4,MI5,MI6,MI7,KD,KC,LC,LM,PC,FC,MC,INDUTRY,GENDER,MARRYED,EDUCATION,DUTY,AGE,CAREER,COMPANY
5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,5,5,5,5,5,5,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,1.905,1.822,0.911,1.908,0.137,0.611,0.729,FINANCE,FEMALE,NO,UNIVERSITY,AGENT,24,1,2
4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,2,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,3,3,0.124,-0.066,-0.004,-1.679,0.798,0.318,0.141,FINANCE,FEMALE,NO,UNIVERSITY,AGENT,26,5,3
4,4,5,5,5,4,4,4,4,4,5,5,5,3,5,4,5,5,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,4,4,4,4,4,4,4,1.188,-0.066,1.563,1.705,1.899,1.775,0.946,FINANCE,FEMALE,NO,UNIVERSITY,AGENT,30,7,3
5,4,5,4,4,4,4,4,5,4,4,4,3,3,3,4,4,3,3,3,2,4,3,4,3,2,2,3,4,3,2,3,3,3,3,2,2,2,3,3,0.878,0.337,-0.327,-0.293,-0.743,-0.862,-0.987,FINANCE,FEMALE,NO,UNIVERSITY,AGENT,26,3,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,3,3,4,4,3,4,4,3,4,0.124,-0.066,0.594,0.716,0.144,-0.254,0.571,FINANCE,FEMALE,NO,UNIVERSITY,AGENT,24,2,4
4,4,4,4,4,4,3,4,4,3,3,3,4,4,4,4,3,3,4,4,4,4,3,2,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,0.124,-0.772,-0.061,0.325,0.133,0.611,0.405,FINANCE,FEMALE,NO,UNIVERSITY,AGENT,48,23,6
4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,0.124,-0.066,-0.983,0.716,-0.523,-0.856,0.946,FINANCE,FEMALE,NO,UNIVERSITY,AGENT,25,3,4
3,3,4,3,4,3,4,4,3,3,5,5,5,5,5,4,5,4,4,4,4,4,5,5,5,5,4,3,4,5,5,5,5,5,5,5,4,5,4,4,-0.957,-1.146,2.172,0.903,1.477,1.779,1.673,FINANCE,FEMALE,YES,UNIVERSITY,AGENT,33,6,3
4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-0.205,-0.364,0.594,-0.481,0.798,0.611,0.946,FINANCE,FEMALE,YES,UNIVERSITY,AGENT,39,10,3
4,4,5,5,5,4,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,5,5,5,5,5,4,3,4,4,4,3,4,1.188,-0.364,0.594,0.324,0.571,2.078,0.546,FINANCE,FEMALE,YES,UNIVERSITY,AGENT,32,7,3
4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,2,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,0.124,-0.066,-0.004,-0.043,0.579,0.611,-0.046,FINANCE,FEMALE,YES,UNIVERSITY,AGENT,32,3,3
5,5,5,3,4,4,5,5,5,5,4,3,5,5,3,5,4,3,3,3,4,3,4,3,5,4,4,4,4,4,4,4,3,3,4,2,3,2,2,2,0.850,1.443,0.552,0.085,0.800,0.344,-1.012,FINANCE,FEMALE,YES,UNIVERSITY,AGENT,50,5,5
4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,5,5,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,3,4,3,3,3,3,4,0.124,-0.066,-0.355,1.090,-0.082,0.611,-0.018,FINANCE,FEMALE,YES,UNIVERSITY,AGENT,38,10,6
4,3,4,4,3,4,5,4,5,4,4,5,4,4,4,5,5,4,4,5,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,4,4,-0.540,0.745,0.911,1.303,-0.523,0.611,1.132,FINANCE,FEMALE,YES,UNIVERSITY,AGENT,40,18,6
3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,-1.658,-1.655,0.301,0.716,0.579,0.611,0.759,FINANCE,FEMALE,YES,UNIVERSITY,AGENT,34,6,6
4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,4,2,3,3,3,2,4,2,2,2,2,2,0.124,-0.066,-0.983,-2.052,-0.523,-0.860,-1.415,FINANCE,MALE,NO,UNIVERSITY,AGENT,30,5,1
4,3,4,3,3,3,4,3,3,4,3,3,3,3,4,3,4,4,4,4,3,3,4,3,3,3,3,4,4,4,4,3,3,4,3,3,4,4,3,4,-0.903,-1.247,-0.659,0.144,-0.082,0.051,0.382,FINANCE,MALE,NO,UNIVERSITY,AGENT,32,5,6
4,3,4,3,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,3,3,4,4,4,4,4,4,4,-0.575,-0.066,-0.016,0.529,-0.523,-0.254,0.946,FINANCE,MALE,NO,UNIVERSITY,AGENT,31,3,6
4,4,3,3,4,4,4,4,4,3,5,4,4,4,5,2,4,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,-0.612,-0.364,1.257,-1.679,0.571,0.611,0.191,FINANCE,MALE,YES,UNIVERSITY,AGENT,30,4,3
4,3,4,4,5,4,4,4,4,4,4,3,3,3,3,4,4,4,4,3,2,3,2,2,3,2,1,1,3,3,1,3,2,3,2,1,1,1,1,1,0.117,-0.066,-0.644,-0.073,-2.049,-1.733,-2.595,MEDICAL,FEMALE,NO,UNIVERSITY,AGENT,24,2,7
4,3,5,5,5,4,4,4,5,5,4,4,5,5,4,4,4,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,5,3,3,3,3,4,0.853,0.635,1.192,0.307,0.583,0.611,0.548,MEDICAL,FEMALE,NO,UNIVERSITY,AGENT,28,5,7
4,3,4,4,3,3,4,4,4,2,4,3,4,4,4,4,4,2,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,-0.540,-1.041,0.278,-0.499,0.126,0.611,0.729,MEDICAL,FEMALE,NO,UNIVERSITY,AGENT,32,6,7
3,3,4,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,4,4,3,3,3,3,3,3,3,-0.593,-0.364,-0.385,0.716,0.364,-0.296,-0.423,MEDICAL,FEMALE,NO,UNIVERSITY,AGENT,28,5,7
3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,3,4,4,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,-0.593,-0.066,0.271,-0.481,0.137,0.344,0.946,ELECTRONIC,FEMALE,NO,UNIVERSITY,AGENT,22,1,15
